Year,State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons)
2011,Tamil Nadu,Tiruchirapalli / Trichy,144.77,638.76,0,0,52.1,611.84
2012,Tamil Nadu,Tiruchirapalli / Trichy,85.54,259.44,0,0,48.84,433.53
2013,Tamil Nadu,Tiruchirapalli / Trichy,115.8,589.95,0,0,40.13,428.45
2014,Tamil Nadu,Tiruchirapalli / Trichy,125.77,609.89,0,0,34.46,354.42
2015,Tamil Nadu,Tiruchirapalli / Trichy,137.32,601.54,0,0,36.77,392.79
2016,Tamil Nadu,Tiruchirapalli / Trichy,123.55,529.5,0,0,30.64,232.59
2017,Tamil Nadu,Tiruchirapalli / Trichy,99.63,476.51,0,0,18.64,177.5
1966,Tamil Nadu,Thanjavur,608,878,0,0,4.6,25.1
1967,Tamil Nadu,Thanjavur,634,920,0,0,4.9,38.5
1968,Tamil Nadu,Thanjavur,627.5,1121,0,0,8.8,77.2
1969,Tamil Nadu,Thanjavur,637.4,1028.2,0,0,7.3,56
1970,Tamil Nadu,Thanjavur,649.7,1067.4,0,0,5.7,49.3
1971,Tamil Nadu,Thanjavur,656.1,1342.2,0,0,5.6,45.6
1972,Tamil Nadu,Thanjavur,660.7,1356.5,0,0,5.9,51.8
1973,Tamil Nadu,Thanjavur,657,1296.1,0,0,6.5,63.8
1974,Tamil Nadu,Thanjavur,620.4,943.8,0,0,6.2,61.1
1975,Tamil Nadu,Thanjavur,661,1280.4,0,0,6.2,73.4
1976,Tamil Nadu,Thanjavur,559.3,880.7,0,0,7.6,64.3
1977,Tamil Nadu,Thanjavur,630.2,1007,0,0,8.2,67.4
1978,Tamil Nadu,Thanjavur,635.8,1361.9,0,0,9.3,60.8
1979,Tamil Nadu,Thanjavur,660.2,1367.4,0,0,9,50.3
1980,Tamil Nadu,Thanjavur,652.4,1414.7,0,0,11,60.7
1981,Tamil Nadu,Thanjavur,658.4,1582.5,0,0,13.2,141.4
1982,Tamil Nadu,Thanjavur,558,1214.9,0,0,11.2,95.1
1983,Tamil Nadu,Thanjavur,552.6,975.2,0,0,9.1,99.6
1984,Tamil Nadu,Thanjavur,671.2,1541.5,0,0,8.5,68.9
1985,Tamil Nadu,Thanjavur,551.1,1290,0,0,11.3,121.1
1986,Tamil Nadu,Thanjavur,514,1394,0,0,12.8,111.7
1987,Tamil Nadu,Thanjavur,478,1328,0,0,15.7,177
1988,Tamil Nadu,Thanjavur,494.3,1557.7,0,0,20.6,233.1
1989,Tamil Nadu,Thanjavur,503.1,1575.1,0,0,27.3,310.3
1990,Tamil Nadu,Thanjavur,479.98,1492.18,0,0,28.1,324.27
1991,Tamil Nadu,Thanjavur,495.8,1666.77,0,0,29.42,347.97
1992,Tamil Nadu,Thanjavur,552.55,1845.51,0,0,22.01,302.58
1993,Tamil Nadu,Thanjavur,562.72,1280.84,0,0,19,215.4
1994,Tamil Nadu,Thanjavur,552.22,1933.73,0,0,29.3,335.5
1995,Tamil Nadu,Thanjavur,497.37,1290.05,0,0,31.34,346.59
1996,Tamil Nadu,Thanjavur,489.47,995.66,0,0,28.74,219.74
1997,Tamil Nadu,Thanjavur,526.14,1130.97,0,0,28.59,257.45
1998,Tamil Nadu,Thanjavur,521.95,1599.01,0,0,30.49,311.48
1999,Tamil Nadu,Thanjavur,535.44,1781.51,0,0,28.04,309.24
2000,Tamil Nadu,Thanjavur,551.95,2011.5,0,0,27.65,342.69
2001,Tamil Nadu,Thanjavur,551.3,1524.11,0,0,28.24,332.28
2002,Tamil Nadu,Thanjavur,413.31,613.79,0,0,24.65,264.19
2003,Tamil Nadu,Thanjavur,381.39,786.79,0,0,17.97,187.81
2004,Tamil Nadu,Thanjavur,480.07,888.99,0,0,22.76,264.3
2005,Tamil Nadu,Thanjavur,483.03,837.03,0,0,36.64,374.31
2006,Tamil Nadu,Thanjavur,519.19,1866.86,0,0,41.51,480.48
2007,Tamil Nadu,Thanjavur,468.18,1133.67,0,0,37.64,411.75
2008,Tamil Nadu,Thanjavur,539.92,855.04,0,0,31.5,328.22
2009,Tamil Nadu,Thanjavur,501.16,1400.38,0,0,26.36,261.72
2010,Tamil Nadu,Thanjavur,496.12,1140.85,0,0,24.85,301.71
2011,Tamil Nadu,Thanjavur,450.12,1813.04,0,0,25.61,279.81
2012,Tamil Nadu,Thanjavur,450.22,834.93,0,0,26.53,265.15
2013,Tamil Nadu,Thanjavur,507.5,2316.46,0,0,20.33,223.73
2014,Tamil Nadu,Thanjavur,543.51,2195.63,0,0,19.73,209.36
2015,Tamil Nadu,Thanjavur,548.65,1696.83,0,0,18.01,173.12
2016,Tamil Nadu,Thanjavur,541.98,1356.07,0,0,14.06,103.74
2017,Tamil Nadu,Thanjavur,520.25,1840.14,0,0,8.54,92
1966,Tamil Nadu,Madurai,161,250,0,0,4.6,44.5
1967,Tamil Nadu,Madurai,161,243,0,0,5.8,48.5
1968,Tamil Nadu,Madurai,146.8,212,0.4,0,11.1,90.6
1969,Tamil Nadu,Madurai,128.6,215.5,0,0,9.5,73.5
1970,Tamil Nadu,Madurai,145.9,365,0,0,6.3,53
1971,Tamil Nadu,Madurai,148.5,336,0,0,6.1,62.4
1972,Tamil Nadu,Madurai,167.9,374.7,0,0,8.8,74.6
1973,Tamil Nadu,Madurai,162.5,365.1,0,0,11.3,107.9
1974,Tamil Nadu,Madurai,129.9,220,0,0,11,78.2
1975,Tamil Nadu,Madurai,146.1,361.6,0.4,0.1,6.5,49.5
1976,Tamil Nadu,Madurai,120,276,0.4,0,8.6,78.9
1977,Tamil Nadu,Madurai,163.7,439.8,0.4,0.1,9.5,93.2
1978,Tamil Nadu,Madurai,158.8,391.9,0.4,0.1,9.4,84
1979,Tamil Nadu,Madurai,171.2,434.2,0.4,0.1,9.1,69.5
1980,Tamil Nadu,Madurai,149.1,383.4,0.2,0.1,11.1,83.8
1981,Tamil Nadu,Madurai,160.4,449,0.3,0.1,11.5,104.7
1982,Tamil Nadu,Madurai,101,197,0.2,0.1,9.3,86.5
1983,Tamil Nadu,Madurai,113.5,270.9,0.2,0.1,7.1,57.3
1984,Tamil Nadu,Madurai,139,311,0.1,0,11,118.3
1985,Tamil Nadu,Madurai,113.6,343.3,0,0,11.3,120.5
1986,Tamil Nadu,Madurai,103,307,0,0,11,123.1
1987,Tamil Nadu,Madurai,139,462,0,0,10.9,114.4
1988,Tamil Nadu,Madurai,129.2,512.5,0,0,14,154
1989,Tamil Nadu,Madurai,158.1,601.4,0,0,16.9,179
1990,Tamil Nadu,Madurai,141.1,490.11,0.2,0.08,18.9,189.45
1991,Tamil Nadu,Madurai,122.26,436.05,0.08,0.03,19.53,232.84
1992,Tamil Nadu,Madurai,139.81,532.41,0,0,17.73,219.3
1993,Tamil Nadu,Madurai,150,543,0,0,17.8,247.8
1994,Tamil Nadu,Madurai,146.49,633.51,0,0,27.23,315.39
1995,Tamil Nadu,Madurai,107.65,342.75,0,0,27.39,235.28
1996,Tamil Nadu,Madurai,127.03,462.58,0,0,20.35,252.81
1997,Tamil Nadu,Madurai,130.48,512.71,0,0,24.46,345.7
1998,Tamil Nadu,Madurai,132.93,627.68,0,0,29.59,498.2
1999,Tamil Nadu,Madurai,129.15,575,0,0,25.83,336.61
2000,Tamil Nadu,Madurai,118.06,513.58,0,0,24.39,271.88
2001,Tamil Nadu,Madurai,101.66,425.8,0,0,24.27,312.56
2002,Tamil Nadu,Madurai,73.11,219.83,0,0,22,194.76
2003,Tamil Nadu,Madurai,49.6,152.63,0,0,14.23,115.77
2004,Tamil Nadu,Madurai,98.04,337.92,0,0,13.44,161.24
2005,Tamil Nadu,Madurai,110.43,375.08,0,0,19.06,220.12
2006,Tamil Nadu,Madurai,100.76,412.98,0,0,22.63,260.49
2007,Tamil Nadu,Madurai,93.54,344.38,0,0,19.86,204.89
2008,Tamil Nadu,Madurai,101.92,420.18,0,0,16.32,200.36
2009,Tamil Nadu,Madurai,83.01,360.18,0,0,14.45,172.52
2010,Tamil Nadu,Madurai,94.77,432.12,0.02,0,14.81,177.36
2011,Tamil Nadu,Madurai,99.54,486.75,0,0,17.21,217.29
2012,Tamil Nadu,Madurai,37.82,143.45,0,0,16.73,159.9
2013,Tamil Nadu,Madurai,52,240.54,0,0,14.35,138.17
2014,Tamil Nadu,Madurai,73.63,340.08,0,0,9.36,83.82
2015,Tamil Nadu,Madurai,85.6,354.99,0,0,10.73,109.81
2016,Tamil Nadu,Madurai,77.18,313.06,0,0,9.92,63.03
2017,Tamil Nadu,Madurai,36.78,171.29,0,0,6.97,64.88
1966,Tamil Nadu,Ramananthapuram,274,300,0,0,2.7,17
1967,Tamil Nadu,Ramananthapuram,270,288,0,0,3.5,28.9
1968,Tamil Nadu,Ramananthapuram,263.5,181,0,0,6.7,55.1
1969,Tamil Nadu,Ramananthapuram,264.1,247.6,0,0,5.8,44.9
1970,Tamil Nadu,Ramananthapuram,255.2,274.3,0,0,3.6,30.1
1971,Tamil Nadu,Ramananthapuram,278.1,333.8,0,0,3.7,37.6
1972,Tamil Nadu,Ramananthapuram,296.6,370.7,0,0,4.7,39.7
1973,Tamil Nadu,Ramananthapuram,288.9,383,0,0,6.6,56.8
1974,Tamil Nadu,Ramananthapuram,179.9,138,0,0,6,45.8
1975,Tamil Nadu,Ramananthapuram,235.9,272.4,0,0,4.6,33.4
1976,Tamil Nadu,Ramananthapuram,234.6,217.5,0,0,5.3,59
1977,Tamil Nadu,Ramananthapuram,292.6,365.1,0,0,7,66.6
1978,Tamil Nadu,Ramananthapuram,269.1,334,0,0,5.3,41.9
1979,Tamil Nadu,Ramananthapuram,303.3,398,0,0,5.1,34.7
1980,Tamil Nadu,Ramananthapuram,261.2,117.1,0,0,6.3,41.8
1981,Tamil Nadu,Ramananthapuram,308.3,549.1,0,0,5.3,30.2
1982,Tamil Nadu,Ramananthapuram,240,270,0,0,4.1,24.7
1983,Tamil Nadu,Ramananthapuram,271,398,0,0,3.4,30.2
1984,Tamil Nadu,Ramananthapuram,215,214,0,0,4.6,46.7
1985,Tamil Nadu,Ramananthapuram,217.2,210.3,0,0,5.4,57.5
1986,Tamil Nadu,Ramananthapuram,206.7,255.5,0,0,5.6,50
1987,Tamil Nadu,Ramananthapuram,291.6,602.7,0,0,5.8,64.1
1988,Tamil Nadu,Ramananthapuram,216.6,186.1,0,0,9,97.6
1989,Tamil Nadu,Ramananthapuram,268.5,429.2,0,0,7.9,87.2
1990,Tamil Nadu,Ramananthapuram,277.39,590.05,0,0,8.98,96.77
1991,Tamil Nadu,Ramananthapuram,244.66,270.31,0,0,10.28,113.09
1992,Tamil Nadu,Ramananthapuram,277.67,590.95,0,0,6.82,80.22
1993,Tamil Nadu,Ramananthapuram,279,744,0,0,10.3,126.7
1994,Tamil Nadu,Ramananthapuram,281.3,562.38,0,0,11.88,132.02
1995,Tamil Nadu,Ramananthapuram,217.86,87.82,0,0,11.27,80.29
1996,Tamil Nadu,Ramananthapuram,243.19,391.4,0,0,8.59,77.57
1997,Tamil Nadu,Ramananthapuram,271.77,814.29,0,0,7.61,69.66
1998,Tamil Nadu,Ramananthapuram,266.29,831.08,0,0,8.16,82.73
1999,Tamil Nadu,Ramananthapuram,250.52,385.13,0,0,9.58,91.37
2000,Tamil Nadu,Ramananthapuram,234.24,528.42,0,0,8.95,92.71
2001,Tamil Nadu,Ramananthapuram,231.16,421.78,0,0,9.46,87.89
2002,Tamil Nadu,Ramananthapuram,237.5,385.79,0,0,9.31,85.45
2003,Tamil Nadu,Ramananthapuram,217.13,114.58,0,0,6.68,61
2004,Tamil Nadu,Ramananthapuram,241.46,521.23,0,0,4.7,44.26
2005,Tamil Nadu,Ramananthapuram,248.1,538.3,0,0,7.57,79.12
2006,Tamil Nadu,Ramananthapuram,244.55,490.85,0,0,10.8,116.35
2007,Tamil Nadu,Ramananthapuram,228.71,201.91,0,0,10.76,107.78
2008,Tamil Nadu,Ramananthapuram,242.13,439.72,0,0,9.52,103.21
2009,Tamil Nadu,Ramananthapuram,237.84,437.7,0,0,8.63,86.7
2010,Tamil Nadu,Ramananthapuram,245.9,536.94,0,0,9.08,80.34
2011,Tamil Nadu,Ramananthapuram,242.4,866.89,0,0,10.13,121.84
2012,Tamil Nadu,Ramananthapuram,210.11,239.34,0,0,9.89,89.26
2013,Tamil Nadu,Ramananthapuram,196.9,148.16,0,0,8.6,67.14
2014,Tamil Nadu,Ramananthapuram,201.57,729.45,0,0,6.37,59.52
2015,Tamil Nadu,Ramananthapuram,212.4,593.55,0,0,6.66,60.67
2016,Tamil Nadu,Ramananthapuram,215.67,446.92,0,0,6.77,38.83
2017,Tamil Nadu,Ramananthapuram,217.34,438.45,0,0,5.03,34.06
1966,Tamil Nadu,Thirunelveli,155,211,0,0,0.7,5.9
1967,Tamil Nadu,Thirunelveli,144,248,0,0,0.9,6.9
1968,Tamil Nadu,Thirunelveli,140.5,239,0,0,1.6,13.1
1969,Tamil Nadu,Thirunelveli,136.3,283.9,0,0,1.8,13.9
1970,Tamil Nadu,Thirunelveli,126.9,338.9,0,0,1,8.3
1971,Tamil Nadu,Thirunelveli,150.6,395.3,0,0,0.8,6.9
1972,Tamil Nadu,Thirunelveli,160.6,349,0,0,1.2,9.9
1973,Tamil Nadu,Thirunelveli,159.1,418.8,0,0,2,19
1974,Tamil Nadu,Thirunelveli,124.6,251.4,0,0,1.4,12.4
1975,Tamil Nadu,Thirunelveli,112.3,228.1,0,0,1,10.3
1976,Tamil Nadu,Thirunelveli,106.3,260.4,0,0,1.1,10.7
1977,Tamil Nadu,Thirunelveli,167.8,451.5,0,0,1.3,13.8
1978,Tamil Nadu,Thirunelveli,149.2,403.4,0,0,1.3,15.3
1979,Tamil Nadu,Thirunelveli,171.1,394.8,0,0,1.3,12.7
1980,Tamil Nadu,Thirunelveli,156.4,369.9,0,0,1.5,15.3
1981,Tamil Nadu,Thirunelveli,135.1,330.8,0,0,2,19.8
1982,Tamil Nadu,Thirunelveli,109,260,0,0,1.6,14.5
1983,Tamil Nadu,Thirunelveli,111.7,244,0,0,1.2,10.9
1984,Tamil Nadu,Thirunelveli,138,331,0,0,2.4,24
1985,Tamil Nadu,Thirunelveli,126,397.4,0,0,1.8,19.7
1986,Tamil Nadu,Thirunelveli,77.7,237.4,0,0,1.7,23
1987,Tamil Nadu,Thirunelveli,87,241,0,0,1.7,17.1
1988,Tamil Nadu,Thirunelveli,103.7,355.5,0,0,3.6,39.8
1989,Tamil Nadu,Thirunelveli,108.2,359,0,0,3.9,40.3
1990,Tamil Nadu,Thirunelveli,130.19,534.26,0,0,3.56,46.45
1991,Tamil Nadu,Thirunelveli,130.93,428.24,0,0,4.82,54.05
1992,Tamil Nadu,Thirunelveli,130.64,522.47,0,0,3.81,47.18
1993,Tamil Nadu,Thirunelveli,131,496,0,0,6.5,79.8
1994,Tamil Nadu,Thirunelveli,132.48,611.27,0,0,5.34,63.34
1995,Tamil Nadu,Thirunelveli,102.14,424.77,0,0,4.71,46.23
1996,Tamil Nadu,Thirunelveli,82.45,325.56,0,0,3.12,16.18
1997,Tamil Nadu,Thirunelveli,106.69,404.3,0,0,2.33,24.99
1998,Tamil Nadu,Thirunelveli,113.5,510.33,0,0,3.64,36.82
1999,Tamil Nadu,Thirunelveli,103.92,469.73,0,0,4.6,50.45
2000,Tamil Nadu,Thirunelveli,91.91,406.93,0,0,5.33,55.09
2001,Tamil Nadu,Thirunelveli,82.18,332.91,0,0,3.85,38.56
2002,Tamil Nadu,Thirunelveli,80.93,330.79,0,0,3.59,32.96
2003,Tamil Nadu,Thirunelveli,66.01,254.74,0,0,2.78,25.36
2004,Tamil Nadu,Thirunelveli,103.25,426.85,0,0,2.83,31.16
2005,Tamil Nadu,Thirunelveli,106.33,390.89,0,0,4.77,36.96
2006,Tamil Nadu,Thirunelveli,113.26,479.28,0,0,5.67,69.66
2007,Tamil Nadu,Thirunelveli,101.77,388.68,0,0,6.33,64.87
2008,Tamil Nadu,Thirunelveli,113.72,482.37,0,0,6.43,64.69
2009,Tamil Nadu,Thirunelveli,105.54,452.56,0,0,5.21,45.96
2010,Tamil Nadu,Thirunelveli,99.77,441.26,0,0,5.34,54.45
2011,Tamil Nadu,Thirunelveli,121.6,441.97,0,0,5.69,50.27
2012,Tamil Nadu,Thirunelveli,51.63,207.05,0,0,3.99,31.82
2013,Tamil Nadu,Thirunelveli,74.01,418.44,0,0,3.57,23.61
2014,Tamil Nadu,Thirunelveli,101.1,517.33,0,0,2.78,21.97
2015,Tamil Nadu,Thirunelveli,117.07,563.01,0,0,2.58,27.25
2016,Tamil Nadu,Thirunelveli,48.44,179.75,0,0,2.6,11.22
2017,Tamil Nadu,Thirunelveli,77,355.16,0,0,2.57,25.68
1966,Tamil Nadu,The Nilgiris,3,3,0,0,0,0
1967,Tamil Nadu,The Nilgiris,3,3,0,0,0,0
1968,Tamil Nadu,The Nilgiris,3,4,0.3,0,0,0
1969,Tamil Nadu,The Nilgiris,3.2,5.6,0,0,0,0
1970,Tamil Nadu,The Nilgiris,3.2,3.2,0,0,0,0
1971,Tamil Nadu,The Nilgiris,3.6,4.9,0,0,0,0
1972,Tamil Nadu,The Nilgiris,3.6,4.8,0,0,0,0
1973,Tamil Nadu,The Nilgiris,3.2,7.1,0,0,0,0
1974,Tamil Nadu,The Nilgiris,3.5,8.5,0,0,0,0
1975,Tamil Nadu,The Nilgiris,3.4,4.7,0.8,0.3,0,0
1976,Tamil Nadu,The Nilgiris,3.4,5.4,0.6,0,0.1,0.4
1977,Tamil Nadu,The Nilgiris,3.2,7.6,0.6,0.3,0,0
1978,Tamil Nadu,The Nilgiris,3.4,5.2,0.7,0.3,0,0
1979,Tamil Nadu,The Nilgiris,3.9,5.6,0.7,0.3,0,0
1980,Tamil Nadu,The Nilgiris,3,4.8,0.4,0.1,0,0
1981,Tamil Nadu,The Nilgiris,3.3,5.5,0.6,0.3,0,0
1982,Tamil Nadu,The Nilgiris,3,4,0,0,0,0
1983,Tamil Nadu,The Nilgiris,3.1,3.7,0,0,0,0
1984,Tamil Nadu,The Nilgiris,3,4,0,0,0,0
1985,Tamil Nadu,The Nilgiris,3.4,5.1,0,0,0,0
1986,Tamil Nadu,The Nilgiris,3,3,0,0,0,0
1987,Tamil Nadu,The Nilgiris,2,3,0,0,0,0
1988,Tamil Nadu,The Nilgiris,2.5,4.5,0.1,0,0,0
1989,Tamil Nadu,The Nilgiris,2.4,3.1,0.1,0.1,0,0
1990,Tamil Nadu,The Nilgiris,2.78,6.89,0.05,0.02,0.05,0.52
1991,Tamil Nadu,The Nilgiris,1.56,4.87,0.11,0.04,0,0
1992,Tamil Nadu,The Nilgiris,1.87,3.84,0,0,0,0.58
1993,Tamil Nadu,The Nilgiris,2,3,0,0,0,0
1994,Tamil Nadu,The Nilgiris,1.59,3.16,0,0,0.01,0.12
1995,Tamil Nadu,The Nilgiris,1.68,2.25,0,0,0.04,0.39
1996,Tamil Nadu,The Nilgiris,1.94,3.08,0,0,0.02,0.21
1997,Tamil Nadu,The Nilgiris,1.72,5.98,0,0,0.02,0.24
1998,Tamil Nadu,The Nilgiris,1.74,7.05,0,0,0.02,0.18
1999,Tamil Nadu,The Nilgiris,1.95,7.98,0,0,0.01,0.14
2000,Tamil Nadu,The Nilgiris,2.03,8.35,0,0,0,0
2001,Tamil Nadu,The Nilgiris,2.15,8.44,0,0,0.01,0.07
2002,Tamil Nadu,The Nilgiris,1.85,6.23,0,0,0.01,0.13
2003,Tamil Nadu,The Nilgiris,1.64,5.41,0,0,0,0
2004,Tamil Nadu,The Nilgiris,1.44,4.76,0,0,0.01,0.12
2005,Tamil Nadu,The Nilgiris,1.43,4.72,0,0,0.01,0.12
2006,Tamil Nadu,The Nilgiris,1.25,4,0,0,0.01,0.12
2007,Tamil Nadu,The Nilgiris,1.11,4.29,0,0,0.01,0.11
2008,Tamil Nadu,The Nilgiris,0.78,3.05,0,0,0.01,0.05
2009,Tamil Nadu,The Nilgiris,0.51,1.78,0,0,0,0
2010,Tamil Nadu,The Nilgiris,0.39,1.4,0,0,0,0
2011,Tamil Nadu,The Nilgiris,0.4,1.65,0,0,0,0
2012,Tamil Nadu,The Nilgiris,0.29,1.15,0.01,0,0,0.04
2013,Tamil Nadu,The Nilgiris,0.33,1.42,0,0,0,0.03
2014,Tamil Nadu,The Nilgiris,0.03,0.15,0,0,0,0.04
2015,Tamil Nadu,The Nilgiris,0.32,1.42,0,0,0,0.04
2016,Tamil Nadu,The Nilgiris,0.24,1.04,0.01,0,0,0.03
2017,Tamil Nadu,The Nilgiris,0.24,0.92,0,0,0,0.05
1966,Tamil Nadu,Kanyakumari,56,95,0,0,0,0
1967,Tamil Nadu,Kanyakumari,57,103,0,0,0,0
1968,Tamil Nadu,Kanyakumari,57.4,116,0,0,0,0
1969,Tamil Nadu,Kanyakumari,58,83.2,0,0,0,0
1970,Tamil Nadu,Kanyakumari,58.5,110.3,0,0,0,0
1971,Tamil Nadu,Kanyakumari,62.1,152.4,0,0,0,0
1972,Tamil Nadu,Kanyakumari,61.7,137.3,0,0,0,0
1973,Tamil Nadu,Kanyakumari,54.5,113.6,0,0,0,0
1974,Tamil Nadu,Kanyakumari,52.7,106.3,0,0,0,0
1975,Tamil Nadu,Kanyakumari,53,116.1,0,0,0,0
1976,Tamil Nadu,Kanyakumari,44.6,90,0,0,0,0
1977,Tamil Nadu,Kanyakumari,49.2,115.2,0,0,0,0
1978,Tamil Nadu,Kanyakumari,46.3,98.9,0,0,0,0
1979,Tamil Nadu,Kanyakumari,49.9,126.2,0,0,0,0
1980,Tamil Nadu,Kanyakumari,43.7,95.4,0,0,0,0
1981,Tamil Nadu,Kanyakumari,48.1,114.1,0,0,0,0
1982,Tamil Nadu,Kanyakumari,46,99,0,0,0,0
1983,Tamil Nadu,Kanyakumari,39,74.9,0,0,0,0
1984,Tamil Nadu,Kanyakumari,46,95,0,0,0,0
1985,Tamil Nadu,Kanyakumari,44.2,117.9,0,0,0,0
1986,Tamil Nadu,Kanyakumari,30,49,0,0,0,0
1987,Tamil Nadu,Kanyakumari,33,45,0,0,0,0
1988,Tamil Nadu,Kanyakumari,45.5,154.4,0,0,0,0
1989,Tamil Nadu,Kanyakumari,43.9,144.1,0,0,0,0
1990,Tamil Nadu,Kanyakumari,41.23,127.82,0,0,0,0
1991,Tamil Nadu,Kanyakumari,40.57,143.22,0,0,0,0
1992,Tamil Nadu,Kanyakumari,38.79,118.92,0,0,0,0
1993,Tamil Nadu,Kanyakumari,42,142,0,0,0,0
1994,Tamil Nadu,Kanyakumari,37.57,151.65,0,0,0,0
1995,Tamil Nadu,Kanyakumari,36.02,148.73,0,0,0,0
1996,Tamil Nadu,Kanyakumari,33.66,138.93,0,0,0,0
1997,Tamil Nadu,Kanyakumari,31.24,118.64,0,0,0,0
1998,Tamil Nadu,Kanyakumari,32,152.8,0,0,0,0
1999,Tamil Nadu,Kanyakumari,31.48,149.48,0,0,0,0
2000,Tamil Nadu,Kanyakumari,28.59,135,0,0,0,0
2001,Tamil Nadu,Kanyakumari,28.23,121.39,0,0,0,0
2002,Tamil Nadu,Kanyakumari,26.05,98.47,0,0,0,0
2003,Tamil Nadu,Kanyakumari,17.32,52.9,0,0,0,0
2004,Tamil Nadu,Kanyakumari,22.02,86.49,0,0,0,0
2005,Tamil Nadu,Kanyakumari,21.71,82.52,0,0,0,0
2006,Tamil Nadu,Kanyakumari,21.41,94.13,0,0,0,0
2007,Tamil Nadu,Kanyakumari,20.35,90.21,0,0,0,0
2008,Tamil Nadu,Kanyakumari,18.19,83.66,0,0,0,0
2009,Tamil Nadu,Kanyakumari,17.31,76.24,0,0,0.01,0.06
2010,Tamil Nadu,Kanyakumari,16.99,80.39,0,0,0.01,0.07
2011,Tamil Nadu,Kanyakumari,16.62,90.11,0,0,0.01,0.08
2012,Tamil Nadu,Kanyakumari,12.41,57.88,0,0,0,0.01
2013,Tamil Nadu,Kanyakumari,13.62,66.7,0,0,0,0.02
2014,Tamil Nadu,Kanyakumari,13.18,66.94,0,0,0,0
2015,Tamil Nadu,Kanyakumari,12.96,55.79,0,0,0,0
2016,Tamil Nadu,Kanyakumari,12.16,48.67,0,0,0,0
2017,Tamil Nadu,Kanyakumari,9.63,33.03,0,0,0,0
1966,Maharashtra,Bombay,2,3,0,0,0,0
1967,Maharashtra,Bombay,2,3,0,0,0,0
1968,Maharashtra,Bombay,1.3,2,0,0,0,0
1969,Maharashtra,Bombay,1.4,2,0,0,0,0
1970,Maharashtra,Bombay,1.2,2.1,0,0,0,0
1971,Maharashtra,Bombay,1.5,2.3,0,0,0,0
1972,Maharashtra,Bombay,1.1,0.8,0,0,0,0
1973,Maharashtra,Bombay,1.1,2.1,0,0,0,0
1974,Maharashtra,Bombay,1.1,1.8,0,0,0,0
1975,Maharashtra,Bombay,1.1,1.6,0,0,0,0
1976,Maharashtra,Bombay,1.2,1.7,0,0,0,0
1977,Maharashtra,Bombay,1.2,2.2,0,0,0,0
1978,Maharashtra,Bombay,1.1,2,0,0,0,0
1979,Maharashtra,Bombay,1,1.3,0,0,0,0
1980,Maharashtra,Bombay,1,1.6,0,0,0,0
1981,Maharashtra,Bombay,0.9,0.8,0,0,0,0
1982,Maharashtra,Bombay,0.9,1.5,0,0,0,0
1983,Maharashtra,Bombay,0.6,1,0,0,0,0
1984,Maharashtra,Bombay,0.5,0.7,0,0,0,0
1985,Maharashtra,Bombay,0,0,0,0,0,0
1986,Maharashtra,Bombay,0,0,0,0,0,0
1987,Maharashtra,Bombay,0,0,0,0,0,0
1988,Maharashtra,Bombay,0.3,0.5,0,0,0,0
1989,Maharashtra,Bombay,0,0,0,0,0,0
1990,Maharashtra,Bombay,0.3,0.6,0,0,0,0
1991,Maharashtra,Bombay,0.3,0.5,0,0,0,0
1992,Maharashtra,Bombay,0,0,0,0,0,0
1993,Maharashtra,Bombay,0,0,0,0,0,0
1994,Maharashtra,Bombay,0,0,0,0,0,0
1995,Maharashtra,Bombay,0,0,0,0,0,0
1996,Maharashtra,Bombay,0,0,0,0,0,0
1997,Maharashtra,Bombay,0,0,0,0,0,0
1998,Maharashtra,Bombay,0,0,0,0,0,0
1999,Maharashtra,Bombay,0,0,0,0,0,0
2000,Maharashtra,Bombay,0,0,0,0,0,0
2001,Maharashtra,Bombay,0,0,0,0,0,0
2002,Maharashtra,Bombay,0,0,0,0,0,0
2003,Maharashtra,Bombay,0,0,0,0,0,0
2004,Maharashtra,Bombay,0,0,0,0,0,0
2005,Maharashtra,Bombay,0,0,0,0,0,0
2006,Maharashtra,Bombay,0,0,0,0,0,0
2007,Maharashtra,Bombay,0,0,0,0,0,0
2008,Maharashtra,Bombay,0,0,0,0,0,0
2009,Maharashtra,Bombay,0,0,0,0,0,0
2010,Maharashtra,Bombay,0,0,0,0,0,0
2011,Maharashtra,Bombay,0,0,0,0,0,0
2012,Maharashtra,Bombay,0,0,0,0,0,0
2016,Maharashtra,Bombay,0,0,0,0,0,0
1966,Maharashtra,Thane,150,172,1,0,0.1,0.3
1967,Maharashtra,Thane,146,252,0,0,0.1,0.4
1968,Maharashtra,Thane,143.2,187,0,0,0.1,0.4
1969,Maharashtra,Thane,140.4,201.4,0,0,0.1,0.5
1970,Maharashtra,Thane,139.2,248.1,0,0,0,0.3
1971,Maharashtra,Thane,141.9,221.6,0.1,0,0.1,0.7
1972,Maharashtra,Thane,134.9,100.1,0,0,0,0
1973,Maharashtra,Thane,142.2,266.3,0.1,0,0,0
1974,Maharashtra,Thane,141.5,238.1,0.4,0.4,0.1,1
1975,Maharashtra,Thane,141.3,285.8,2.1,2.7,0.1,1
